Len,lev,dl,dl_rec,dl_rec_cash
10,668,672,1840,2420
20,2028,2032,3680,5620
30,4188,4192,5520,9620
40,7148,7152,7360,14420
50,10908,10912,9200,20020
60,15468,15472,11040,26420
70,20828,20832,12880,33620
80,26988,26992,14720,41620
90,33948,33952,16560,50420
100,41708,41712,18400,60020
110,50268,50272,20240,70420
120,59628,59632,22080,81620
130,69788,69792,23920,93620
140,80748,80752,25760,106420
150,92508,92512,27600,120020
160,105068,105072,29440,134420
170,118428,118432,31280,149620
180,132588,132592,33120,165620
190,147548,147552,34960,182420
200,163308,163312,36800,200020
